漢字,華語
闊喙食四方,指嘴巴大的人比較有口福
我決定欲請半月日的假來去𨑨迌。,我決定請半個月的假期去玩。
拍甲予你叫毋敢。,把你打到求饒。
彼間厝的四爿攏是山。,那間房子的四周圍都是山。
我佇臺灣出世的。,我在臺灣出生的。
阮阿公的冊房內底有真濟古冊。,我爺爺的書房裡有很多古書。
彼本古冊誠好看。,那本故事書很好看。
這攤生理若予做會成，就聽好食半世人矣。,這筆生意如果讓他做成，就能讓他吃半輩子了。
出外家己愛較細膩咧。,出遠門自己要小心一點。
另外買一个雞卵糕送𪜶老母。,另外買一個雞蛋糕送他母親。
敢閣有另外的人欲來？,有其他人要來嗎？
你想講激外外就無代誌矣是無？,你以為裝得漠不關心就沒事了是嗎？
伊真𠢕唸四句聯。,他很會唸四句聯。
這个查某囡仔真𠢕司奶。,這個女孩子很會撒嬌。
逐字都寫甲真四正。,每個字都寫得很端正。
這盤雞肉半生熟，毋通食。,這盤雞肉半生不熟，不要吃。
伊佇𪜶公司做外交。,他是他們公司的外務員。
伊的外交袂䆀。,他的人際關係不錯。
日月潭是一个真出名的風景區。,日月潭是一個很有名的風景區。
閣等一下啦！連鞭就欲出帆矣。,再等一下！馬上就要開船了。
出業揣無頭路，只好暫時去做臨時工。,畢業之後找不到工作，只好暫時去當臨時工。
古早時代，「玉井」叫做「噍吧哖」。,很久以前，「玉井」稱做「噍吧哖」。
這聲你真正卯死矣。,這下你真的賺死了。
專業的代誌外行的做袂來。,專業的事情外行的人做不來。
我毋是本地人，我是外位搬來的。,我不是本地人，我是外地搬來的。
代誌做了真四序。,事情辦得很妥善。
你去買一寡四秀仔來啖糝一下。,你去買一些零食來吃吃。
你敢知影伊的出身？,你知道他的身世背景嗎？
頂半身,上半身
下半身,下半身
你去叫伊出來。,你去叫他出來。
伊共所有的代誌攏講出來矣。,他把所有的事情都說出來了。
咱著愛綴會著社會的改變，毋通傷古板！,我們要跟得上社會的改變，不要太古板！
四物仔雞,四物雞湯
代誌按呢一直吊佇半空中嘛毋是辦法。,事情這樣一直懸而未解也不是辦法。
我雄雄感覺跤痠手軟，四肢無力。,我忽然覺得手腳痠軟，四肢無力。
你幾點欲出門？,你幾點要出門？
有人咧叫門，你去看是啥物人？,有人在敲門，你去看是誰？
車頭附近有真濟叫客的計程車。,車站附近有很多會拉客的計程車。
只是一屑仔小意思爾爾。,只是一點點小意思而已。
我叫是你欲走矣，毋才無共你招。,我以為你要走了，才沒約你。
四界走,到處跑
你毋通四界趖。,你不可以到處晃蕩。
叫苦連天,叫苦連天
只要有你，代誌就會成功。,只要有你，事情就會成功。
外口真寒，你愛加疊一領外衫。,外面很冷，你要多穿一件外衣。
三叩首,三叩首
遮四面攏是山，環境真好。,這裡四周圍都是山，環境很好。
伊上愛出風頭。,他最喜歡出風頭。
你若共錢借我，我會加倍還你。,你如果把錢借給我，我會加倍還給你。
伊連鞭就會出師矣！,他不久之後就學藝完成了！
阮某轉去外家矣。,我的妻子回娘家去了。
你若欲做研究，我遮有一寡古書會用得借你。,如果你要做研究，我這裡有一些古書可以借給你。
伊定定拍我出氣。,他常常打我發洩怨氣。
名聲迵四海。,比喻家喻戶曉。
出珠的人毋通四界走，才袂去共人穢著。,長水痘的人不要到處跑，才不會傳染給別人。
伊可能袂來矣。,他可能不會來了。
有這款可能。,有這種可能。
伊昨暗出酒，到今猶咧艱苦。,他昨晚酒醉漚吐，到現在還在不舒服。
𪜶兩个有四配。,他們兩個很登對。
咱國家的元首叫做總統。,我們的國家元首叫做總統。
我四常去圖書館查資料。,我常常去圖書館查資料。
誠可惜！這擺的比賽無提著冠軍。,真可惜！這次比賽沒拿到第一名。
我等你規半晡矣。,我等你老半天了。
伊只不過是一个半桶屎爾爾。,他不過是個半吊子罷了。
你只不過是一个半桶師仔，有啥物好囂俳的？,你不過是個學徒，有什麼好囂張的？
彼幾片彩雲加添黃昏的美麗。,那幾片彩雲添加了黃昏的美麗。
伊哭甲目屎四淋垂。,他哭得眼淚直流。
屏東的高樹出產棗仔。,屏東高樹出產棗子。
做人愛認真拍拚，才會有出脫。,為人處事必須認真努力，才會有出息。
臺北是一个四通八達的大城市。,臺北是一個四通八達的大城市。
這馬觀念進步，半陰陽仔嘛愛受著尊重。,現在觀念進步，陰陽人也要受到尊重。
等一下麻煩你出喙共我鬥講寡好話好無？,等一下麻煩你發言幫我說些好話好嗎？
老人無喙齒攏會卯喙。,老人沒牙齒嘴巴都會凹陷。
這个人真可惡！,這個人真可惡！
大學出業了後，同學攏四散去矣。,大學畢業之後，大家都各奔東西了。
你愛加減食一寡，病才會較快好。,你多少吃一點，病才會比較快痊癒。
阮阿媽誠愛煮冬菜鴨。,我奶奶很喜歡煮冬菜鴨肉。
你先叫菜，我隨來！,你先點菜，我馬上來！
執政者攏加減有包袱仔。,執政者多少都有包袱。
召集令,召集令
出勤簿,上班登記簿
這帖藥仔會當去傷解鬱。,這帖藥可以解除血氣鬱結。
伊做人誠古意。,他為人忠厚老實。
逐个人攏誠佮意可愛的動物。,每個人都很喜歡可愛的動物。
伊是一个古意人，你莫共伊創治啦。,他是一個老實人，你不要捉弄他了。
這塊雞卵糕攕一下煞凹落去。,這塊蛋糕被叉一下，居然凹下去了。
伊欲送予人的物件攏包裝甲真媠。,他要送給別人的東西都會包裝得很漂亮。
加話減講寡。,廢話少說。
陳的佮王的咧加話。,老陳跟老王兩人在爭論。
我欲出運矣，這馬開始欲趁大錢囉！,我要走運了，現在開始賺錢囉！
我半路拄著朋友，真歡喜。,我半路遇到朋友很高興。
代誌做甲半路就閬港矣。,事情做到一半就逃跑了。
加減趁一寡仔外路仔來相添所費。,多少賺點外快來添補家用。
伊是一个半路師，你敢放心共工課交予伊做？,他是一個半吊子，你會放心將工作交給他做嗎？
翁仔某半暝咧冤家。,夫妻半夜在吵架。
伊的動作真可疑。,他的行為舉止真令人懷疑。
阮阿母上愛用半精白的肉落去滷。,我媽媽最喜歡用半肥半瘦的肉下去滷。
遮四箍圍仔攏是塗沙。,這四周都是泥沙。
你去四箍輾轉揣看覓，看彼个囡仔覕佇佗位？,你四周去找找看，看那個孩子躲到哪裡去了？
賣蚵仔麵線包領你趁錢。,賣蚵仔麵線一定可以賺錢。
這个凹鼻的尪仔誠歹看。,這個鼻子塌陷的洋娃娃很難看。
做功德,行善
巷仔底有人辦喪事咧做功德。,巷底有人辦喪事在做法會。
你這个可憐的囡仔，遮爾細漢老爸就來過身去。,你這個可憐的小孩子，這麼小父親就過世了。
遐細漢爸母就過身，實在是可憐代。,那麼小就經歷父母雙亡，實在是很可憐。
伊為著家己的利益出賣朋友。,他為了自己的利益出賣朋友。
伊彼个人無啥可靠，我看你去揣別人較好。,他那個人不太可靠，我看你去找其他人比較好。
食藥仔愛配半燒冷的滾水。,吃藥必須喝溫開水。
這是眾人的代誌，毋通予一个人包辦。,這是眾人的事，不要讓他一個人包辦。
伊生做真古錐。,他長得真可愛。
你著愛認真拍拚，才有出頭的一日。,你要認真努力，才會有出人頭地的一天。
好佳哉有你出頭，若無，這件代誌就辦袂成矣。,幸好有你出面，否則這件事情就做不成了。
𪜶囝今年二十出頭矣。,他兒子今年二十多歲了。
有包餡的是包仔。,有包內餡的是包子。
外頭佮內頭攏伊咧扞。,內外事物都是他在掌理。
你愛認真拍拚，才會出頭天。,你要認真努力，才會有出人頭地的那一天。
你若恬恬莫出聲，無人會講你是啞口。,你如果安靜不出聲，不會有人把你當啞巴。
伊的粒仔出膿矣。,他的膿瘡流膿了。
你若是加講話，連鞭就會出代誌。,你要是說了不該說的話，馬上會發生事情。
囡仔出癖的時陣毋通共伊𤆬出去。,小孩子出麻疹的時候不要帶他出門。
比賽會贏會輸無包穩的。,比賽有贏有輸沒有一個定數。
伊遮認真練習，這回比賽包穩會贏。,他這麼認真練習，這次比賽一定會贏。
四邊恬靜，干焦有鳥仔啼叫的聲。,四周很安靜，只有鳥啼叫的聲音。
比數差遐濟，這聲包贏的。,比數差這麼多，這次一定贏啦。
共這塊田包贌落來種作。,把這塊田地承租下來耕作。
夯貨,抬貨
我胃疼閣夯起來矣。,我胃痛又發作了。
性地夯起來,脾氣發作起來
風颱過了後，菜價攏夯起來。,颱風過後，菜價都上漲了。
失業,丟掉工作
失身,失去貞操
失約,失約
失血,失血
失勢,失勢
失眠,失眠
失學,失學
失守,失守
失敗,失敗
失言,失言
失算,失算
失陪,失陪
失敬,失敬
奴才,奴才
奴婢,奴婢
牛奶,牛奶
豆奶,豆漿
米奶,米漿
伊真𠢕奶。,他很會撒嬌。
奇巧,奇巧
花言巧語,花言巧語
伊足巧的，你免想欲拐伊。,他很聰明，你別想騙他。
奸巧,奸巧
菜市仔,菜市場
都市,都市
搶市,搶購熱烈
絨仔布,絨布
這片草埔真平。,這片草皮很平。
平手,平手
平重,一樣重
風湧較平矣。,風浪比較小了。
分袂平,分不平均
平、上、去、入,平、上、去、入
路見不平,路見不平
面肉幼,臉部皮膚細嫩
菜真幼,菜很嫩
幼骨,骨架小
幼毛,細毛
手路真幼,手工精緻
爸老囝幼,父老子幼
肉幼仔,肉末
六年戊班,六年戊班
扒飯,扒飯
尻脊骿癢，手扒袂著。,背脊癢，用手抓不到。
扒龍船,划龍船
安打,安打
雙打,雙打
攻打,攻打
這馬的人嫁粧定定攏打現金。,現代人的嫁妝常常都折合現金。
我無時間通去買禮物，規氣打現金予你。,我沒時間去買禮物，乾脆折算現金給你。
一打汽水,一打汽水
花旦,花旦
小旦,小旦
未時,下午一點到三點
未免,未免
未滿二十歲,未滿二十歲
我猶未食飯。,我還沒吃飯。
你食飽未？,你吃飽了沒有？
草本植物,草本植物
原本,原本
本名,本名
根本,根本
本錢,本錢
奏本,奏本
課本,課本
副本,副本
本人,本人
本年度,本年度
阿本仔,日本人
一本冊,一本書
一本戲文,一段戲文
囥無正,沒有放正
正的,真的
正爿,右邊
正跤,右腳
正門,正門
正宗,正宗
正路,正路
五點正,五點整
正著時,正值某個時候
正中晝,正午時分
正人君子,正人君子
天上聖母,天上聖母
姨母,姨母
阿母,媽媽
母親,母親
豬母,母豬
病母,病原
母錢,本錢
母姨,姨媽
豬母,母豬
阿母,媽媽
母舅,舅舅
人民,人民
民間,民間
果汁,果汁
烏汁汁,髒兮兮
我欲佮伊本人講話。,我要跟他本人說話。
看場合打扮，才袂失人禮。,看場合打扮，才不會失禮。
有人講飼狗是咧共狗做奴才。,有人說養狗是給狗當奴才。
伊早起跋倒，去頓著尻川。,他早上跌撞到屁股。
這个人真有本土味。,這個人很有本土味。
囡仔人若無乖著愛拍尻川䫌。,小孩子如果不乖就要打屁股。
屎到尻川口才欲放。,大便到了肛門才要解。比喻諷刺人做事情總要等到最後關頭才要進行。
尻川斗翹翹,屁股翹
伊佇尻川後講人的歹話。,他在人家背後說壞話。
春分，暝日平分。,在春分節氣的這一天，白天和黑夜一樣長。
我一下失手煞共茶杯仔摔破去。,我一失手竟把茶杯打破了。
嫁娶的時陣會有一位好命的婦人人打扎新娘。,嫁娶的時候會有一位好命的婦人攙扶新娘子。
我生理失敗的時佳哉有伊共我打扎。,我做生意失敗時還好有他幫助我。
社會民心不滿,社會民心不滿
你的正手爿有一本冊，提過來予我好無？,你的右手邊有一本書，拿過來給我好嗎？
正月正時，愛講一寡好吉兆的話。,過年的時候，要說一些吉利的話。
𪜶母仔囝兩个人無依無倚，誠艱苦過日。,他們母子倆無依無靠，日子過得很困苦。
這項物件價值一萬箍左右。,這個東西價值一萬元左右。
左右為難,左右為難
平平是人，生活哪會差遐濟？,一樣都是人，生活怎麼會差那麼多？
平平路也會行甲跋跋倒？,平坦的路讓你走也會跌倒？
弓蕉無到分，食著末末。,香蕉未成熟，吃起來口感不好。
嬰仔愛坐奶母車。,嬰兒要坐嬰兒車。
這塊布布目較疏。,這塊布的縫隙較大較粗糙。
做人著守本份。,做人必須守本份。
阿琴仔家己一个養飼幼囝，實在足感心。,阿琴自己一人撫養幼兒，實在令人感動。
咱做人求平安就好，毋通痟貪。,我們做人求平安就好，別貪小便宜。
今年的王梨失收。,今年的鳳梨收成不好。
我本成就有想欲按呢做。,我本來就有想要這樣做。
伊按呢做，未免傷酷刑！,他這樣做，未免太殘酷了！
平均落來，一个人會當分著三千箍。,平均下來，每個人可以分到三千塊錢。
